Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
80.01,0.15,0,60.22
80.01,0.2,0,52.25
80.01,0.3,0,41.8
80.01,0.5,0,30.8
80.01,0.7,0,24.74
80.01,1,0,19.05
80.01,1.5,0,13
80.01,2,0,9.18
80.01,3,0,4.58
80.01,5,0,0.81
80,7,0,0.02
85.01,0,0,68.1
85.02,0.01,0,64.94
85.01,0.015,0,61.66
85.01,0.02,0,58.2
85.01,0.03,0,52.27
85.01,0.05,0,43.67
85.01,0.07,0,38.36
85.01,0.1,0,32.46
85.01,0.15,0,26.31
85.01,0.2,0,22.39
85.01,0.3,0,17.48
85.01,0.5,0,12.08
85.01,0.7,0,8.93
85,1,0,6
85.01,1.5,0,3.02
85.01,2,0,1.37
85.01,3,0,0.13
85.01,5,0,
90.01,0,0,15.92
90.01,0.01,0,12.53
90,0.015,0,11.37
90.01,0.02,0,10.37
90.02,0.03,0,8.83
90.01,0.05,0,7.05
90.01,0.07,0,5.78
90.01,0.1,0,4.55
90.01,0.15,0,3.34
90.01,0.2,0,2.54
90.01,0.3,0,1.5
90.01,0.5,0,0.52
90.02,0.7,0,0.13
90.01,1,0,0.04
90.01,1.5,0,
90.01,2,0,
90.01,3,0,
90.01,5,0,
